drug_a_name,drug_b_name,cell_line,synergy,label
PACLITAXEL,SORAFENIB,RPMI7951,-13.172091948,0
BORTEZOMIB,MK-8669,UACC62,-13.513874525,0
CARBOPLATIN,ZOLINZA,SW620,-12.7625390062,0
VINORELBINE,DASATINIB,NIHOVCAR3,20.780900008,1
ZOLINZA,SN-38,NCIH520,-3.3244218572,0
MK-4541,PD325901,RPMI7951,-14.4841810331,0
PD325901,BEZ-235,MDAMB436,34.3905349741,1
MK-4541,DOXORUBICIN,RKO,13.8477338726,1
CYCLOPHOSPHAMIDE,MK-8776,HT144,11.4108212503,1
SUNITINIB,TEMOZOLOMIDE,CAOV3,-5.8089963235,0
ZOLINZA,SUNITINIB,RKO,-4.4201362855,0
MK-2206,DINACICLIB,ES2,14.6702540099,1
ZOLINZA,MK-2206,PA1,15.5555714193,1
ETOPOSIDE,ERLOTINIB,HT144,31.446221627,1
CYCLOPHOSPHAMIDE,DINACICLIB,NCIH460,10.0035713913,1
CYCLOPHOSPHAMIDE,ABT-888,T47D,-4.0885971301,0
MRK-003,METHOTREXATE,A2780,-7.9344387897,0
DOXORUBICIN,GELDANAMYCIN,NCIH23,-23.6318948039,0
METFORMIN,MK-5108,ZR751,-11.5132787922,0
MRK-003,DASATINIB,DLD1,28.0753597144,1
MK-4827,PD325901,A375,-0.7736426448,0
SUNITINIB,SN-38,CAOV3,-1.680760145,0
AZD1775,BORTEZOMIB,RPMI7951,-17.9036923384,0
DEXAMETHASONE,DINACICLIB,SW837,-0.6144995718,0
SN-38,DINACICLIB,NCIH460,-14.3028386794,0
DOXORUBICIN,DINACICLIB,SKMEL30,-0.7397134917,0
SN-38,MK-8776,SKMES1,-8.4463032051,0
VINORELBINE,ERLOTINIB,NCIH1650,12.7565912479,1
MK-4827,MK-8776,A427,-4.50318620865,0
MK-4827,MK-8669,PA1,18.1028731309,1
MK-4541,DASATINIB,T47D,-4.4433969877,0
ETOPOSIDE,MK-8776,CAOV3,65.0998472311,1
MK-2206,PD325901,A2780,81.9982751227,1
METHOTREXATE,MK-4827,NCIH460,-15.38289385,0
DASATINIB,OXALIPLATIN,SW620,10.9714201258,1
BEZ-235,DINACICLIB,VCAP,-1.8345494754,0
