drug_a_name,drug_b_name,cell_line,synergy,label
PACLITAXEL,ZOLINZA,LOVO,10.3749746515,1
BORTEZOMIB,MK-8776,A427,-7.5617437623,0
CYCLOPHOSPHAMIDE,ABT-888,LOVO,-4.9527410642,0
VINORELBINE,DASATINIB,T47D,45.2193548182,1
ZOLINZA,SORAFENIB,HT144,-8.5640266164,0
MK-4541,SUNITINIB,RPMI7951,-4.3375268585,0
PD325901,DASATINIB,NCIH23,74.7879820008,1
MK-4541,ETOPOSIDE,A427,-7.0045040408,0
CYCLOPHOSPHAMIDE,MK-8776,RKO,10.0798818194,1
SUNITINIB,SORAFENIB,NCIH2122,-4.0136386936,0
ZOLINZA,SUNITINIB,SKOV3,-4.3769516768,0
MK-2206,ERLOTINIB,SKOV3,58.8052420934,1
ZOLINZA,MK-2206,ZR751,-3.0818882106,0
ETOPOSIDE,GELDANAMYCIN,NIHOVCAR3,39.0283329689,1
CYCLOPHOSPHAMIDE,DINACICLIB,RKO,15.2376778292,1
CYCLOPHOSPHAMIDE,BEZ-235,A2058,12.7461879998,1
MRK-003,MK-2206,SKOV3,35.8855923356,1
DOXORUBICIN,L778123,RPMI7951,-4.9323951393,0
METFORMIN,SORAFENIB,RKO,15.3276001695,1
MRK-003,DOXORUBICIN,HCT116,-14.1093704842,0
MK-4827,SORAFENIB,T47D,-3.1430782315,0
SUNITINIB,PD325901,RKO,27.8136258661,1
AZD1775,DASATINIB,NCIH1650,29.3064721866,1
DEXAMETHASONE,ERLOTINIB,ZR751,29.720837618,1
SN-38,MK-8776,SKMEL30,27.8133440028,1
DOXORUBICIN,GELDANAMYCIN,DLD1,-7.3328970196,0
SORAFENIB,DINACICLIB,DLD1,-0.0576818976,0
VINORELBINE,ERLOTINIB,RKO,13.4513914928,1
MK-4827,PD325901,NCIH460,15.3937025178,1
MK-4827,OXALIPLATIN,UACC62,-22.6104029121,0
MK-4541,DINACICLIB,VCAP,23.7748443055,1
ETOPOSIDE,PD325901,ZR751,48.625321403,1
MK-2206,SN-38,KPL1,53.3799731153,1
METHOTREXATE,MK-8776,NCIH520,-11.5238218226,0
DASATINIB,SN-38,SW837,36.3994449083,1
BEZ-235,MK-8776,A427,36.4692290867,1
BEZ-235,OXALIPLATIN,CAOV3,12.9960234608,1
